project_id,state,district,project_type,land_area_ha,affected_families,pending_approvals,approval_delay_days,documentation_pct,legal_cases,court_stay,compensation_pct,compensation_delay_days,possession_pct,rr_progress_pct,stakeholder_delay_days,historical_delay_rate,planned_days,actual_days,delay_days,delay_stage,delay_reason,delayed,risk_score,risk_level
LA1162,Tamil Nadu,Coimbatore,Industrial Corridor,149.9,597,4,114,50.0,2,0,47.5,62,22.5,19.9,17,0.269,388,521,133,Notification,Documentation,1,100.0,High
LA1163,Uttar Pradesh,Kanpur,Highway,143.8,301,0,11,100.0,2,0,100.0,0,92.5,94.1,15,0.582,659,665,6,None,None,0,51.3,Medium
LA1164,Andhra Pradesh,Guntur,Expressway,82.0,171,3,77,77.4,3,0,92.7,3,100.0,100.0,25,0.293,548,660,112,Notification,Documentation,1,74.5,High
LA1165,Maharashtra,Nashik,Metro,72.1,209,1,30,75.6,3,0,76.2,67,81.1,96.7,23,0.03,212,380,168,Notification,Documentation,1,77.9,High
LA1166,Maharashtra,Pune,Industrial Corridor,311.1,1162,1,34,84.3,1,0,95.0,0,100.0,99.4,3,0.084,516,526,10,None,None,0,15.2,Low
LA1167,Andhra Pradesh,Guntur,Highway,68.0,180,5,67,77.0,1,0,67.9,62,68.0,65.3,23,0.164,478,629,151,Notification,Documentation,1,99.7,High
LA1168,Tamil Nadu,Coimbatore,Railway,130.2,389,2,24,82.4,2,0,50.8,61,33.6,14.9,30,0.538,365,479,114,R&R,R&R Bottleneck,1,98.9,High
LA1169,Odisha,Nayagarh,Highway,262.0,668,0,31,88.2,2,0,89.1,2,83.1,65.2,6,0.486,494,610,116,R&R,R&R Bottleneck,1,68.2,Medium
LA1170,Kerala,Ernakulam,Railway,27.0,54,0,41,80.2,6,0,70.1,20,12.7,5.0,21,0.363,387,547,160,R&R,R&R Bottleneck,1,96.1,High
LA1171,Madhya Pradesh,Bhopal,Railway,48.8,51,3,60,80.6,1,0,86.9,40,92.1,100.0,17,0.347,255,266,11,None,None,0,83.8,High
LA1172,Maharashtra,Pune,Highway,138.7,557,2,26,91.7,2,0,79.1,17,91.0,40.0,17,0.319,339,518,179,R&R,R&R Bottleneck,1,51.9,Medium
LA1173,Odisha,Nayagarh,Metro,51.4,91,3,24,65.9,2,0,56.4,63,63.0,95.1,23,0.55,276,430,154,Approval,Pending Approval,1,92.8,High
LA1174,Tamil Nadu,Madurai,Metro,104.1,328,0,47,99.0,0,0,77.0,40,51.0,48.1,8,0.343,381,381,0,None,None,0,64.4,Medium
LA1175,Uttar Pradesh,Lucknow,Metro,141.3,274,5,82,74.3,1,0,89.7,0,61.5,78.9,25,0.295,343,514,171,Notification,Documentation,1,90.2,High
LA1176,Uttar Pradesh,Lucknow,Highway,31.2,66,2,40,81.1,1,0,89.7,7,67.3,61.0,21,0.556,518,525,7,None,None,0,89.7,High
LA1177,Uttar Pradesh,Lucknow,Expressway,139.9,165,1,35,93.7,2,0,83.8,32,100.0,87.8,22,0.548,355,479,124,Notification,Documentation,1,91.1,High
LA1178,Tamil Nadu,Madurai,Expressway,132.0,419,4,75,91.3,4,0,83.2,20,72.8,62.2,20,0.37,384,398,14,None,None,0,71.4,High
LA1179,Andhra Pradesh,Guntur,Expressway,62.7,99,1,26,93.7,2,0,100.0,3,100.0,77.4,11,0.534,486,690,204,Notification,Documentation,1,92.9,High
LA1180,Uttar Pradesh,Kanpur,Highway,319.9,599,1,41,82.7,2,0,74.1,17,60.7,31.9,1,0.303,448,615,167,R&R,R&R Bottleneck,1,97.8,High
LA1181,Telangana,Hyderabad,Metro,125.3,137,2,38,92.1,1,0,61.1,34,46.4,33.8,6,0.107,295,434,139,R&R,R&R Bottleneck,1,92.0,High
LA1182,Uttar Pradesh,Kanpur,Highway,44.2,77,3,70,78.2,1,0,81.0,28,83.8,81.7,12,0.03,379,387,8,None,None,0,46.9,Medium
LA1183,Maharashtra,Nashik,Railway,87.3,170,1,26,79.5,2,0,84.3,0,77.7,89.4,3,0.385,364,375,11,None,None,0,49.6,Medium
LA1184,Andhra Pradesh,Guntur,Expressway,26.2,48,2,47,81.9,3,0,66.6,41,74.2,76.0,13,0.064,466,672,206,Notification,Documentation,1,85.9,High
LA1185,Andhra Pradesh,Guntur,Railway,543.5,2165,1,41,70.3,4,0,41.8,68,11.5,11.4,11,0.195,448,630,182,R&R,R&R Bottleneck,1,99.5,High
LA1186,Madhya Pradesh,Indore,Expressway,235.6,949,1,31,82.0,6,1,82.0,43,50.6,53.3,12,0.426,246,407,161,Compensation,Compensation Delay,1,93.2,High
LA1187,Odisha,Nayagarh,Highway,143.7,155,3,30,100.0,4,0,90.4,21,80.4,58.0,20,0.133,169,175,6,None,None,0,84.0,High
LA1188,Tamil Nadu,Madurai,Expressway,170.3,657,2,72,90.5,1,0,72.1,1,72.9,85.6,4,0.503,428,597,169,Notification,Documentation,1,91.6,High
LA1189,Tamil Nadu,Chennai,Railway,135.7,472,1,22,83.8,0,0,76.5,19,66.3,46.5,17,0.219,461,461,0,None,None,0,83.8,High
LA1190,Tamil Nadu,Coimbatore,Highway,38.0,104,1,47,57.3,0,0,100.0,0,100.0,100.0,30,0.136,444,601,157,Notification,Documentation,1,84.8,High
LA1191,Karnataka,Bengaluru Rural,Highway,39.4,66,0,10,85.4,1,0,65.4,15,49.3,79.3,7,0.227,420,423,3,None,None,0,57.3,Medium
LA1192,Odisha,Nayagarh,Highway,114.5,207,0,36,92.1,3,0,76.5,29,65.7,42.6,14,0.152,266,430,164,R&R,R&R Bottleneck,1,92.2,High
LA1193,Madhya Pradesh,Bhopal,Industrial Corridor,57.6,179,4,53,66.9,0,0,73.3,47,63.9,45.4,19,0.145,456,646,190,R&R,R&R Bottleneck,1,98.0,High
LA1194,Madhya Pradesh,Bhopal,Industrial Corridor,195.5,421,2,10,87.0,0,0,100.0,5,81.8,47.9,8,0.349,250,262,12,None,None,0,31.1,Low
LA1195,Bihar,Araria,Highway,65.6,267,4,46,94.7,1,0,100.0,0,100.0,87.6,26,0.239,284,432,148,Notification,Documentation,1,53.3,Medium
LA1196,Odisha,Khordha,Railway,155.2,256,3,120,70.1,5,0,73.6,12,68.1,60.0,25,0.196,602,777,175,Notification,Documentation,1,100.0,High
LA1197,Uttar Pradesh,Lucknow,Railway,74.9,279,2,40,79.2,4,0,85.0,19,77.3,55.3,18,0.206,366,578,212,R&R,R&R Bottleneck,1,91.0,High
LA1198,Kerala,Thrissur,Highway,75.5,316,5,90,59.1,2,0,83.0,3,98.4,100.0,17,0.165,202,327,125,Notification,Documentation,1,90.5,High
LA1199,Odisha,Khordha,Highway,87.3,245,3,15,97.1,1,0,84.5,52,81.1,100.0,21,0.125,470,627,157,Possession,Legal Dispute,1,66.7,Medium
LA1200,Telangana,Hyderabad,Metro,142.0,566,1,37,95.1,3,0,81.7,26,74.1,54.6,18,0.339,396,550,154,R&R,R&R Bottleneck,1,91.8,High
